name;agreeableness;conscientiousness;extraversion;neuroticism;openness
user_27;32.265752686962;70.61899514848176;78.72301456835895;92.18524469721811;50.973601630153375
user_31;28.83227491520947;60.26555657268846;67.11527505410622;90.10540237162078;46.27790486862943
user_2;54.960090295683315;52.89690488345798;70.76195946973026;42.619374533039164;75.50388881829289
user_11;61.86022742745937;44.334414151935945;72.254265532068;60.55973403239044;58.81401827761105
user_10;44.73165255279067;80.88072213704355;87.47392806307558;89.43838954786631;42.85118694156439
user_3;54.142583907009715;53.73514989613977;67.04931281062966;68.29021760000794;62.20514009013333
user_30;45.1281561143286;48.433430082365135;53.844820235155986;56.08244663848905;61.283450755071236
user_26;47.16068657613997;42.85003682626586;64.06788949839303;71.76618660961454;62.57383214467557
user_4;38.00549607770717;61.93153299717683;51.03727250889055;85.40458692333934;63.348077949613
user_17;39.89114781563622;70.72119616263532;90.61447388024338;75.28682902377916;71.73109570816678
user_21;59.39716266205796;70.23941767091767;87.12609956682827;85.98596195298721;46.890857869969025
user_8;43.316996384332306;60.064691644999705;75.95456230248455;86.67864420955782;61.7061894491553
user_37;61.03054112998214;48.06626228263815;67.27620664606582;61.35461241128063;70.93299627668883
user_36;77.11255859450087;62.838140941480326;68.5309357016479;41.661557129217165;87.53845377955037
user_9;48.08632515831513;53.2755941612347;68.23187687161705;50.3280293683533;72.35212052752742
user_20;71.75385644543255;50.38504057436026;39.59046161244932;34.47653135086484;69.51228908042526
user_16;43.66494447605352;70.83020610806886;71.63897254929935;77.53418823696754;47.410252931954375
user_5;40.21846677214883;76.13795226619916;73.85850390584866;68.334787952826;53.0236161857702
user_15;48.37584931238223;59.6576060031358;49.47366119521262;64.20925326612368;58.30118788892251
user_6;60.420836379830675;57.69094512681787;46.10858991701924;42.76425767480741;66.42457023014705
user_19;40.75853515470692;66.42367340660867;60.07841434970041;84.39424013563969;70.15327648135668
user_35;46.087846500513;64.12094408801356;72.95370345586734;74.31827190129918;70.24186747498672
user_23;59.66845875085835;57.18536333685643;62.10954890235117;60.90148786204987;77.73157314962278
user_22;39.699242627400935;60.48170186816999;65.02888519220853;62.88131554960106;51.6870358179888
user_34;51.86051822087515;53.119746833686385;66.46965738392939;68.96170381982418;46.43394534731706
user_18;42.80431487180718;72.62176814527459;73.04744304930168;76.77214167398084;73.90388807768717
user_7;36.26758555852592;63.083203135103496;72.51681596215899;83.59303434441641;50.95611031773958
user_14;40.7188201506398;62.63184452978196;73.99069338563712;69.08622568232114;52.472852394916345
user_33;47.96997687229434;70.53837446584579;67.2726969307027;68.14020489416222;49.293298093333746
user_25;45.85981374614248;45.993592504570316;76.99483704806151;58.24748707964724;74.68318603548794
user_13;57.6960056056423;71.71529346493551;93.10723916307786;82.63881209126068;85.17809876353134
user_0;58.605384318643715;59.47004815645423;49.76150780573499;54.83657184721125;66.7616295535408
user_29;43.89266627138337;60.80007072993635;69.04445161962371;64.39682923102818;69.85746802207716
user_28;50.426546895873614;53.75416120446948;72.34599893902659;63.805576378153035;72.24278747128237
user_1;32.75260551607449;64.10267652327248;74.83503910550579;90.65303087142188;75.4901910392784
user_12;49.800897725694334;59.19789049231084;72.10203699151779;78.59195058058462;62.61120954851413
user_24;47.01227008759683;57.306047192689526;74.97069444743033;74.93148403990793;73.89403588813795
user_32;61.410705189457765;63.81656763585496;75.91456864266928;59.51224190533567;72.25479866231521
