person_id;image_id;caption
user_5;user_50.jpg;walking into the new week wearing a full outfit from @naz.fashion 💭 these high waisted linen shorts have been my go to and the blouse is also available in kaki and mint blue. (discount code is: CHLOE10 and I wear a size I in everything) hope you all had a lovely weekend! . 📷 @taniabiland . #ethicalfashion #fairfashion #slowfashion #ethicalootd #minimalootd #sustainablefashion
user_5;user_51.jpg;new home additions 💭 . #homedecor #ethicallymade #plantsofinstagram
user_5;user_52.jpg;the only thing i no longer wear from this photo is the long hair. keep your clothes, wear and rewear them over and over. i have no idea how old this belt is, it use to be from my mom. if you treat your clothes well and cherish them, they can last years and years. clothes aren’t disposables, they’re items we should keep and for this we need to think twice before getting something new. 💭 some better alternatives to tossing clothing in the bin: swapping, selling, donating (to people you know or charity shops. textile bins don’t count), upcycling & repairing. . #ethicalfashion #sustainablefashion #ethicallymade #veganshoes #vintage #slowfashion
user_5;user_53.jpg;been working my way through the book Fashionopolis by @danathomasparis this week and still have a lot to go. It’s full of great insights and information. I am learning so much hence why I’m so slow with it. I encourage anyone to read this book with me 🖤 . ethical jewelry i’m wearing is from @brunathelabel_ and the discount code is ETHICAL15  favorite knitted top from fair fashion brand @armedangels . #ethicalfashion #ethicallymade #sustainablefashion #fashionopolis #sustainablefashionmatterz
user_5;user_54.jpg;i started reading the book Fashionopolis by @danathomasparis and it is brilliant so far. although it does not focus on racism in the fashion industry, it is very eye opening in this matter and i am looking forward to learn and research more. this will be the topic of next week’s video and podcast where Christèle from @maisonmbosso will be invited. I quickly touch on this project in the introduction of my newest video. All ads revenue will be donated and I also added lots of resources in my “blm” story highlights and in the description of the video. . 📷 @taniabiland . #ethicalfashion #fashionopolis
user_5;user_55.jpg;#blackouttuesday sharing more information, ressources, book recommendations, documentaries and accounts in my stories. 🖤
user_5;user_56.jpg;who else loves a great jumpsuit outfit? it’s so easy to put on and style with anything without having to worry about tops or bottoms. 99% of the time it takes me less than 2 minutes to decide what i’ll be wearing for the day and jumpsuits really make this daily choice even easier. so comfy too! jumpsuit: @naz.fashion bag: vintage shoes: The forward Lab . 📷 @taniabiland . #ootd #ethicalootd #ethicalfashionbrand #ethicalfashionblogger #ethicalfashion #sustainablefashion #sustainable #ad #fairfashion #slowfashion
user_5;user_57.jpg;have been reading « The Art of Intimacy, the Pleasure of Passion » by Mel Schwartz this week. first non-fiction book in a while and really enjoying it. excited to start something new this weekend.. what are you all reading atm? 📚 anyone on Goodreads? (also thank you for the endless amount of love and kind words on my latest post and videos 🥺) . #readingtime #bookstagram #booklover
user_5;user_58.jpg;to all my friends and fam who have had to put up with my indecisiveness of cutting my hair since november 2019, this is over. 😚 . haircut: @cha_michelet @vagabondesmtrx sweater: @sanvtofficial (gifted) . #bobhaircut #haircut #hairtransformation #newme
user_5;user_59.jpg;a great week in the mountains with these power women, sisters, and dear friends 🤍. strong friendships and deep connection is something i’ve always longed for and although I met lots of amazing people while traveling and living abroad, there is no one who’ll know me better than the girls I’ve grown up and went to school with. Also super grateful we’ve all evolved in ways that made us connect even more over the years and adopted common interests which made us closer. Our social life is not defined by how many friends we have, but how deep our connections are. . 📷 @perezdavid . #friendship #swissalps #switzerland #girlpower #womensupportingwomen #womenofmylife #sistersquad #sisterhood
